bid,cycle,gender,question
86,1,2,자녀는 몇 kg으로 태어났나요? 어릴 때 건강한 아이였나요?
87,1,2,"자녀의 태몽이 있다면요? 누가 꿨는지, 어떤 태몽이었는지 이야기를 들려주세요."
88,1,2,자녀가 처음 학교에 가던 날을 기억하시나요? 어떤 기분이 들었나요?
89,1,2,요리를 처음 배운 날이 기억나시나요?
90,1,2,스무살이 되고나서 가장 처음 시작한 취미가 있다면?
91,1,2,내가 가장 좋아했던 20대 패션은?
92,1,2,"내가 가장 좋아하는 옷, 혹은 구두가 있다면?"
93,1,2,청년시절 내가 가장 좋아했던 머리모양이 있다면?
94,2,0,"자녀가 결혼을 했다면, 결혼식 풍경이 기억에 나시나요? 그 이야기를 들려주세요."
95,2,0,어떤 일을 하셨나요? 청년기 때와 직업이 달라지셨나요? 자세히 이야기 해주세요.
96,2,0,가장 행복했던 순간은 언제였나요? 왜 그 순간이 가장 행복했는지 이야기 해주세요.
97,2,0,가장 힘들었던 순간은 언제였나요? 왜 그 순간이 가장 힘들었는지 이야기 해주세요.
98,2,0,어떤 취미 생활을 하면서 여가를 보내셨나요? 
99,2,0,자녀가 아이를 낳았을 때의 기분은 어떠셨어요? 손주를 처음 마주했던 순간을 이야기 해주세요.
100,2,0,내가 이제 나이가 들었다는 생각이 든 순간이 있으셨나요? 있으셨다면 그 이야기를 해주세요.
101,2,0,"그 시절 주로 어울렸던 친구들을 기억하시나요? 어떤 분들이었는지, 어떻게 시간을 보냈는지 이야기 해주세요."
102,2,0,자녀의 첫 운동회 기억나시나요? 어떤 기분이 들었는지 이야기 해주세요.
103,2,0,자녀가 좋아했던 음식이 있다면 무엇이었나요?
104,2,0,"우리 가족이 즐겨 먹었던 음식이 있다면 무엇이었나요? 주로 어떤 때 즐겨 먹었는지, 이야기 해주세요."
105,2,0,명절하면 떠오르는 기억이 있으신가요? 설날이나 추석을 어떻게 보내셨나요?
106,2,0,지금까지 여행갔던 곳 중에서 가장 멀었던 지역은 어디였나요? 그 여행에 대한 기억은 어땠나요?
107,2,0,명절에는 명절에만 먹는 음식이 있죠. 이번 명절 가장 먹고 싶은 명절 음식은?
108,2,0,주말엔 교외로 떠나고 싶은 생각이 들어요. 뷰가 멋진 나만 아는 드라이브 코스를 소개해 주세요!
109,2,0,자꾸 깜빡하는 건망증이 심해져요. 건망증 극복하는 나만의 방법은?
110,2,0,집에 혼자 있는 날. 문득 떠오르는 친구가 있나요?
111,2,0,이제는 전화번호 외우기가 쉽지 않아요. 외우고 있는 전화번호가 있으신가요?
112,2,0,좋아하는 동물이 있거나 키우고 있는 반려동물이 있나요? 
113,2,0,내가 가장 좋아하는 화분이 있다면?
114,2,1,군복을 입고 지나가는 청년들이 있어요. 군인을 보면 떠오르는 나만의 이야기가 있나요?
115,2,1,교복을 입고 지나가는 학생들이 있어요. 학생을 보면 떠오르는 나만의 이야기가 있나요?
116,2,1,내가 좋아했던 첫사랑 그녀를 처음 본 순간이 기억나시나요?
117,2,1,한 집에 가장으로서  결혼 전 느꼈던 부담이 있었나요?
118,2,1,내가 그녀를 보며 결혼을 결심했던 계기가 있다면?
119,2,2,명절에는 명절에만 먹는 음식이 있어요. 가장 자신있게 만들 수 있는 명절음식이 있다면?
120,2,2,교복을 입고 지나가는 학생들이 있어요. 학생을 보면 떠오르는 나만의 이야기가 있나요?
121,2,2,내가 좋아했던 첫사랑 그를 처음 본 순간이 기억나시나요?
122,2,2,한 가정의 엄마가 처음되었던 내가 느꼈던 심정은?
123,2,2,내가 그를 보며 결혼을 결심했던 계기가 있다면?
124,3,0,현재의 가족 구성원은 어떻게 되나요? 현재 나의 가족에 대해 이야기 해주세요.
125,3,0,"결혼을 하셨다면, 배우자와 지금까지 함께한 시간은 어떠셨나요? "
126,3,0,살아오면서 가장 잘했다고 생각하는 일은 무엇인가요?
127,3,0,살아오면서 가장 후회되는 일은 무엇인가요?
128,3,0,다시 과거로 돌아가고 싶다면 언제인가요? 왜 그 때로 다시 돌아가고 싶으신가요?
129,3,0,"자녀들이 있다면, 자녀들에게 꼭 해주고 싶은 이야기가 있나요?"
130,3,0,"살아오면서 힘들 때, 어떻게 다시 힘을 내실 수 있었나요? 나를 버티게 한 원동력은 무엇인가요?"
131,3,0,"과거를 돌아봤을 때, 가장 고마운 사람이 있다면요?"
132,3,0,"부모가 되어 보니, 부모님에 대한 마음이 달라졌을 것 같아요. 부모님께 전하고 싶은 이야기가 있을까요?"
133,3,0,"어떤 취미생활을 하고 계신가요? 누구와 함께 하는지, 취미생활을 할 때 어떤 기분인지 이야기 해주세요."
134,3,0,무엇을 할 때 가장 행복하신가요?
135,3,0,"앞으로의 바람이 있다면요? 어떤 꿈을 가지고 계신지, 어떤 인생을 살고 싶은지 이야기 해주세요."
136,3,0,내가 사람들에게 어떤 사람으로 기억되길 바라시나요? 왜 그렇게 생각하시는지 이야기 해주세요.
137,3,0,방 정리를 하다가 20년이 넘은 물건을 찾았어요. 우리집에서 가장 오래된 물건을 소개해주세요.
138,3,0,문득 부모님이 생각나는 날이 있나요? 어떤 때 생각이 나시나요?
139,3,0,되돌아 보면 후회되는 일이 있으신가요?
140,3,0,"내가 겪은 역사적 사건 중, 교과서나 뉴스기사와 다른 일이 있나요?"
141,3,0,내가 가진 가장 소중한 물건이 있다면?
142,3,0,세상을 떠난 나를 한 문장으로 설명한다면?
143,3,0,나의 마지막 날의 하루를 상상한다면?
144,3,1,내가 사랑했던 그녀와 가장 기억에 남는 일화가 있다면?
145,3,1,내가 사랑한 그녀에게 마지막으로 전하고 싶은 말이 있다면?
146,3,1,내가 그녀를 사랑했던 이유
147,3,1,내가 그녀에게 미안한 이유
148,3,1,그녀와 함께 했던 날들 중에 후회되는 일이 있다면?
149,3,2,내가 사랑했던 그와 가장 기억에 남는 일화가 있다면?
150,3,2,내가 사랑한 그에게 마지막으로 전하고 싶은 말이 있다면?
151,3,2,내가 그를 사랑했던 이유
152,3,2,내가 그에게 미안한 이유
153,3,2,그와 함께 했던 날들 중에 후회되는 일이 있다면?
